Source JSON Level,DHDP Data Group,DHDP Data Catalog Identifier,OMOP Table,Target Field,Instruction,MOHCCN Source Schema,Source Field,Value,Vocab,Requirement Rule,Description
,,Radiation Therapy - Modality (Code),,procedure_concept_id,Concept ID By Term,Radiation,radiation_therapy_modality,,,Placeholder:{missing_concept_id_value},
,,Radiation Therapy - Modality (Text From Source),,procedure_source_value,Copy Value,Radiation,radiation_therapy_modality,,,,
,,,,procedure_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,Radiation Therapy - External or Internal (Code),,modifier_concept_id,Concept ID By Term,Radiation,radiation_therapy_type,,,,
,,Radiation Therapy - External or Internal (Text From Source),,modifier_source_value,Copy Value,Radiation,radiation_therapy_type,,,,
,OMOP Radiation Episode / Procedure Event,,episode_event,episode_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Radiation Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Radiation Procedure,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147082,CDM,,procedure_occurrence.procedure_occurrence_id
,OMOP Radiation Episode Total Dose Given Measurement,,measurement,measurement_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,40483776,SNOMED,,Total radiation dose delivered
,,,,measurement_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,measurement_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Radiation Episode,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Radiation Therapy - Total Dose Given,,value_as_number,Copy Value,Radiation,radiation_therapy_dosage,,,Skip Record,
,,Radiation Therapy - Total Dose Given Units,,unit_concept_id,Fixed Value,N/A,N/A,4037797,SNOMED,,Gy
,OMOP Radiation Episode Total Fractions Given Measurement,,measurement,measurement_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,Radiation,,4037631,SNOMED,,Number of fractions
,,,,measurement_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,measurement_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Radiation Episode,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Radiation Therapy - Total Dose Given,,value_as_number,Copy Value,Radiation,radiation_therapy_fractions,,,Skip Record,
,OMOP Radiation Episode Radiated Site Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4181646,SNOMED,,Procedure site
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Radiation Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Radiation Therapy - Irradiated Site (Code),,value_as_concept_id,Concept ID By Term,Radiation,anatomical_site_irradiated ,,,Skip Record,
,,Radiation Therapy - Irradiated Site (Text From Source),,value_source_value,Copy Value,Radiation,anatomical_site_irradiated ,,,,
,OMOP Radiation Boost Procedure,,procedure_occurrence,procedure_occurrence_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,procedure_concept_id,Fixed Value,N/A,N/A,40482853,SNOMED,,Radiation boost therapy
,,,,procedure_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,modifier_concept_id,Concept ID By Term,Radiation,radiation_boost,,,Skip Record,
,,,,modifier_source_value,Copy Value,Radiation,radiation_boost,,,,
,OMOP Radiation Episode / Radiation Boost Procedure Event,,episode_event,episode_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Radiation Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Radiation Boost Procedure,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147082,CDM,,procedure_occurrence.procedure_occurrence_id
$.donors[].primary_diagnoses[].treatments[].surgeries[],OMOP Surgery Episode,,_global_vars,N/A,Save To Global Vars,Surgery,surgery_reference_database,,,,
,,,episode,episode_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,episode_concept_id,Fixed Value,N/A,N/A,32939,Episode,,Cancer Surgery
,,,,episode_source_concept_id,Fixed Value,N/A,N/A,0,,,
,,,,episode_object_concept_id,Concept ID By Code,Surgery,surgery_reference_identifier,,{Surgery.surgery_reference_database},Placeholder:{missing_concept_id_value},
,,,,episode_start_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,OMOP Treatment Episode / Surgery Episode Event,,episode_event,episode_id,Get Unique ID,Treatment,submitter_treatment_id,OMOP Treatment Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,OMOP Surgery Procedure,,procedure_occurrence,procedure_occurrence_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,Surgery - Surgery Type (Code),,procedure_concept_id,Concept ID By Code,Surgery,surgery_reference_identifier,,{Surgery.surgery_reference_database},Placeholder:{missing_concept_id_value},
,,"Surgery - Surgery Reference Database (Text From Source),
Surgery - Surgery Reference Identifier (Text From Source),
Surgery - Surgery Name (Text From Source)",,procedure_source_value,Concatenate Values,Surgery,"surgery_reference_database, surgery_reference_identifier,
surgery_type",,,,
,,,,procedure_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,OMOP Surgery Episode / Procedure Event,,episode_event,episode_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Procedure,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147082,CDM,,procedure_occurrence.procedure_occurrence_id
,OMOP Surgery Episode Tumour Length Measurement,,measurement,measurement_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,,,4156562,SNOMED,,"Tumor size, dimension 1"
,,,,measurement_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,measurement_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Tumour Length,,value_as_number,Copy Value,Surgery,tumour_length,,,Skip Record,
,,,,unit_concept_id,Fixed Value,N/A,N/A,4122379,SNOMED,,mm
,OMOP Surgery Episode Tumour Width Measurement,,measurement,measurement_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,,,4156563,SNOMED,,"Tumor size, dimension 2"
,,,,measurement_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,measurement_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Tumour Width,,value_as_number,Copy Value,Surgery,tumour_width,,,Skip Record,
,,,,unit_concept_id,Fixed Value,N/A,N/A,4122379,SNOMED,,mm
,OMOP Surgery Episode Greatest Tumour Dimension Measurement,,measurement,measurement_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,,,4154259,SNOMED,,"Tumor size, largest dimension"
,,,,measurement_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,measurement_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,meas_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Tumour Width,,value_as_number,Copy Value,Surgery,greatest_dimension_tumour,,,Skip Record,
,,,,unit_concept_id,Fixed Value,N/A,N/A,4122379,SNOMED,,mm
,OMOP Surgery Episode Surgery Site Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4181646,SNOMED,,Procedure site
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Body Site (Code),,value_as_concept_id,Concept ID By Term,Surgery,surgery_site,,ICDO3,Skip Record,
,,Surgery - Body Site (Text From Source),,value_source_value,Copy Value,Surgery,surgery_site,,,,
,OMOP Surgery Episode Surgery Tumour Focality Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4244984,SNOMED,,Tumor focality
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Tumour Focality (Code),,value_as_concept_id,Concept ID By Term,Surgery,tumour_focality,,,Skip Record,
,,Surgery - Tumour Focality (Text From Source),,value_source_value,Copy Value,Surgery,tumour_focality,,,,
,OMOP Surgery Episode Surgery Specimen Source Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,45773156,SNOMED,,Specimen source
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Specimen Source (Code),,value_as_concept_id,Concept ID By Term,Surgery,surgery_location,,,Skip Record,
,,Surgery - Specimen Source (Text From Source),,value_source_value,Copy Value,Surgery,surgery_location,,,,
,OMOP Surgery Episode Residual Tumour Classification Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4077124,SNOMED,,Residual tumor stage
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Residual Tumour Classification (Code),,value_as_concept_id,Concept ID By Term,Surgery,residual_tumour_classification,,,Skip Record,
,,Surgery - Residual Tumour Classification (Text From Source),,value_source_value,Copy Value,Surgery,residual_tumour_classification,,,,
,OMOP Surgery Episode Lymphovascular Invasion Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,1074673,SNOMED,,Status of lymphovascular invasion by tumour
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Lymphovascular Invasion (Code),,value_as_concept_id,Concept ID By Term,Surgery,lymphovascular_invasion,,,Skip Record,
,,Surgery - Lymphovascular Invasion (Text From Source),,value_source_value,Copy Value,Surgery,lymphovascular_invasion,,,,
,OMOP Surgery Episode Perineural Invasion Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4161179,SNOMED,,Status of perineural invasion by tumour
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Perineural Invasion (Code),,value_as_concept_id,Concept ID By Term,Surgery,perineural_invasion,,,Skip Record,
,,Surgery - Perineural Invasion (Text From Source),,value_source_value,Copy Value,Surgery,perineural_invasion,,,,
,OMOP Surgery Episode Margin Positive Involvement Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4184217,SNOMED,,Surgical margin involved by tumor
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Margin Types Involved (Code),,value_as_concept_id,Fixed Value,N/A,N/A,0,,,
,,Surgery - Margin Types Involved (Text From Source),,value_source_value,Concatenate Values,Surgery,margin_types_involved,,,Skip Record,
,,,,qualifier_concept_id,Fixed Value,N/A,N/A,9191,SNOMED,,Positive
,OMOP Surgery Episode Margin Negative Involvement Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4184217,SNOMED,,Surgical margin involved by tumor
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Margin Types Not Involved (Code),,value_as_concept_id,Fixed Value,N/A,N/A,0,,,
,,Surgery - Margin Types Not Involved (Text From Source),,value_source_value,Concatenate Values,Surgery,margin_types_not_involved,,,Skip Record,
,,,,qualifier_concept_id,Fixed Value,N/A,N/A,9189,SNOMED,,Negative
,OMOP Surgery Episode Margin Unassessible Involvement Observation,,observation,observation_id,Generate Unique ID From Path,Treatment,submitter_treatment_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4184217,SNOMED,,Surgical margin involved by tumor
,,,,observation_date,Calculate Date From Interval,N/A,N/A,{Treatment.treatment_start_date},,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID From Path,Treatment,submitter_treatment_id,OMOP Surgery Episode,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,798885,CDM,,episode.episode_id
,,Surgery - Margin Types Not Assessable (Code),,value_as_concept_id,Fixed Value,N/A,N/A,0,,,
,,Surgery - Margin Types Not Assessable (Text From Source),,value_source_value,Concatenate Values,Surgery,margin_types_not_assessed,,,Skip Record,
,,,,qualifier_concept_id,Fixed Value,N/A,N/A,4183475,SNOMED,,Margins cannot be assessed
$.donors[].primary_diagnoses[].specimens[],OMOP Specimen,,_global_vars,{Specimen.submitter_specimen_id},Copy Value,Specimen,submitter_specimen_id,,,Skip Record,
,,,specimen,specimen_id,Generate Unique ID,Specimen,submitter_specimen_id,,,,
,,,,specimen_concept_id,Fixed Value,N/A,N/A,4002890,SNOMED,,Tissue specimen
,,Specimen - Specimen Collection Date,,specimen_date,Calculate Date From Interval,Specimen,specimen_collection_date,,,Placeholder:{missing_date_value},
,,Specimen - Specimen Body Site (Code),,anatomic_site_concept_id,Concept ID By Code,Specimen,specimen_anatomic_location,,ICDO3,,
,,Specimen - Specimen Body Site (Text From Source),,anatomic_site_source_value,Copy Value,Specimen,specimen_anatomic_location,,,,
,OMOP Specimen Tumour Morphology Observation,,observation,observation_id,Generate Unique ID,Specimen,submitter_specimen_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,36716952,SNOMED,,Morphology
,,,,observation_date,Calculate Date From Interval,Specimen,specimen_collection_date,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Specimen,submitter_specimen_id,OMOP Specimen,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147049,CDM,,specimen.specimen_id
,,Specimen - Tumour Histological Type (Code),,value_as_concept_id,Concept ID By Code,Specimen,tumour_histological_type,,ICDO3,Skip Record,
,,Specimen - Tumour Histological Type (Text From Source),,value_source_value,Copy Value,Specimen,tumour_histological_type,,,,
,OMOP Specimen Tumour Grade Observation,,observation,observation_id,Generate Unique ID,Specimen,submitter_specimen_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4160340,SNOMED,,Histologic grade
,,,,observation_date,Calculate Date From Interval,Specimen,specimen_collection_date,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Specimen,submitter_specimen_id,OMOP Specimen,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147049,CDM,,specimen.specimen_id
,,Specimen - Tumour Grade (Code),,value_as_concept_id,Concept ID By Term,Specimen,tumour_grade,,,Placeholder:{missing_concept_id_value},
,,Specimen - Tumour Grade (Code),,value_source_value,Copy Value,Specimen,tumour_grade,,,,
,,Specimen - Tumour Grading System (Code),,qualifier_concept_id,Concept ID By Term,Specimen,tumour_grading_system,,,,
,,Specimen - Tumour Grading System (Code),,qualifier_source_value,Copy Value,Specimen,tumour_grading_system,,,,
,OMOP Specimen Laterality Observation,,observation,observation_id,Generate Unique ID,Specimen,submitter_specimen_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4298494,SNOMED,,Specimen laterality
,,,,observation_date,Calculate Date From Interval,Specimen,specimen_collection_date,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Specimen,submitter_specimen_id,OMOP Specimen,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147049,CDM,,specimen.specimen_id
,,Specimen - Specimen Laterality  (Code),,value_as_concept_id,Concept ID By Term,Specimen,specimen_laterality,,,Skip Record,
,,Specimen - Specimen Laterality (Code),,value_source_value,Copy Value,Specimen,specimen_laterality,,,,
,OMOP Specimen Processing Technique Observation,,observation,observation_id,Generate Unique ID,Specimen,submitter_specimen_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4154128,SNOMED,,Specimen type
,,,,observation_date,Calculate Date From Interval,Specimen,specimen_collection_date,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Specimen,submitter_specimen_id,OMOP Specimen,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147049,CDM,,specimen.specimen_id
,,Specimen - Specimen Processing Technique (Code),,value_as_concept_id,Concept ID By Term,Specimen,specimen_processing,,,Skip Record,
,,Specimen - Specimen Processing Technique (Code),,value_source_value,Copy Value,Specimen,specimen_processing,,,,
,OMOP Specimen Storage Method Observation,,observation,observation_id,Generate Unique ID,Specimen,submitter_specimen_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,37169821,SNOMED,,Specimen storage
,,,,observation_date,Calculate Date From Interval,Specimen,specimen_collection_date,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Specimen,submitter_specimen_id,OMOP Specimen,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147049,CDM,,specimen.specimen_id
,,Specimen - Specimen Storage Method (Code),,value_as_concept_id,Concept ID By Term,Specimen,specimen_storage,,,Skip Record,
,,Specimen - Specimen Storage Method (Code),,value_source_value,Copy Value,Specimen,specimen_storage,,,,
,OMOP Primary Dx Episode / Specimen Event,,episode_event,episode_id,Get Unique ID,Primary Diagnosis,submitter_primary_diagnosis_id,OMOP Primary Dx Episode,,Skip Record,
,,,,event_id,Get Unique ID,Specimen,submitter_specimen_id,OMOP Specimen,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147049,CDM,,specimen.specimen_id
,OMOP Treatment Episode / Specimen Event,,episode_event,episode_id,Get Unique ID,Treatment,submitter_treatment_id,OMOP Treatment Episode,,Skip Record,
,,,,event_id,Get Unique ID,Specimen,submitter_specimen_id,OMOP Specimen,,Skip Record,
,,,,episode_event_field_concept_id,Fixed Value,N/A,N/A,1147049,CDM,,specimen.specimen_id
,MOHCCN Specimen Incomplete Modeling,,,,,Specimen,reference_pathology_confirmed_diagnosis,,,,
,,,,,,Specimen,reference_pathology_confirmed_tumour_presence,,,,
,,,,,,Specimen,percent_tumour_cells_range,,,,
,,,,,,Specimen,percent_tumour_cells_measurement_method,,,,
$.donors[].primary_diagnoses[].treatments[].followups[],OMOP Follow Up Visit Occurrence,,_global_vars,N/A,Save To Global Vars,Follow Up,submitter_follow_up_id,,,,
,,,visit_occurrence,visit_occurrence_id,Generate Unique ID,Follow Up,submitter_follow_up_id,,,Skip Record,
,,,,visit_concept_id,Fixed Value,N/A,N/A,9202,Visit,,Outpatient Visit
,,,,visit_start_date,Calculate Date From Interval,Follow Up,date_of_followup,,,Placeholder:{missing_date_value},
,,,,visit_end_date,Calculate Date From Interval,Follow Up,date_of_followup,,,Placeholder:{missing_date_value},
,OMOP Follow Up Disease Status Observation,,observation,observation_id,Generate Unique ID,Follow Up,submitter_follow_up_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4203711,SNOMED,,Follow-up status
,,,,observation_date,Calculate Date From Interval,Follow Up,date_of_followup,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Follow Up,submitter_follow_up_id,OMOP Follow Up Visit Occurrence,,,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147070,CDM,,visit_occurrence.visit_occurrence_id
,,,,value_as_concept_id,Concept ID By Term,Follow Up,disease_status_at_followup,,,Skip Record,
,,,,value_source_value,Copy Value,Follow Up,disease_status_at_followup,,,,
,OMOP Follow Up Relapse Type Observation,,observation,observation_id,Generate Unique ID,Follow Up,submitter_follow_up_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,4117444,SNOMED,,Relapse episode
,,,,observation_date,Calculate Date From Interval,Follow Up,date_of_relapse,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Follow Up,submitter_follow_up_id,OMOP Follow Up Visit Occurrence,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147070,CDM,,visit_occurrence.visit_occurrence_id
,,,,value_as_concept_id,Concept ID By Term,Follow Up,relapse_type,,,Placeholder:{missing_concept_id_value},
,,,,value_source_value,Copy Value,Follow Up,relapse_type,,,,
,OMOP Follow Up Relapse Site Observation,,observation,observation_id,Generate Unique ID,Follow Up,submitter_follow_up_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,3375793,SNOMED,,Tumour site
,,,,observation_date,Calculate Date From Interval,Follow Up,date_of_relapse,,,Placeholder:{missing_date_value},
,,,,observation_event_id,Get Unique ID,Follow Up,submitter_follow_up_id,OMOP Follow Up Visit Occurrence,,Skip Record,
,,,,obs_event_field_concept_id,Fixed Value,N/A,N/A,1147070,CDM,,visit_occurrence.visit_occurrence_id
,,,,value_as_concept_id,Concept ID By Code,Follow Up,anatomic_site_progression_or_recurrence,,ICDO3,Skip Record,
,,,,value_source_value,Copy Value,Follow Up,anatomic_site_progression_or_recurrence,,,,
,MOHCCN Follow Up Incomplete Modeling,,,,,Follow Up,method_of_progression_status,,,,
$.donors[].biomarkers[],OMOP PSA Biomarker Measurement,,measurement,measurement_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4272032,SNOMED,,Prostate specific antigen measurement
,,,,measurement_date,Calculate Date From Interval,Biomarker,test_date,,,Placeholder:{missing_date_value},
,,,,value_as_number,Copy Value,Biomarker,psa_level,,,Skip Record,
,,,,unit_concept_id,Fixed Value,N/A,N/A,4120724,SNOMED,,ng/mL
,OMOP CA125 Biomarker Measurement,,measurement,measurement_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4197913,SNOMED,,CA 125 measurement
,,,,measurement_date,Calculate Date From Interval,Biomarker,test_date,,,Placeholder:{missing_date_value},
,,,,value_as_number,Copy Value,Biomarker,ca125,,,Skip Record,
,,,,unit_concept_id,Fixed Value,N/A,N/A,4118305,SNOMED,,U/mL
,OMOP CEA Biomarker Measurement,,measurement,measurement_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4244721,SNOMED,,Carcinoembryonic antigen measurement
,,,,measurement_date,Calculate Date From Interval,Biomarker,test_date,,,Placeholder:{missing_date_value},
,,,,value_as_number,Copy Value,Biomarker,cea,,,Skip Record,
,,,,unit_concept_id,Fixed Value,N/A,N/A,4120724,SNOMED,,ng/mL
,OMOP Estrogen Receptor Biomarker Measurement,,measurement,measurement_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,4307360,SNOMED,,Estrogen receptor assay
,,,,measurement_date,Calculate Date From Interval,Biomarker,test_date,,,Placeholder:{missing_date_value},
,,,,value_as_concept_id,Concept ID By Term,Biomarker,er_status,,,Skip Record,
,,,,value_as_number,Copy Value,Biomarker,er_percent_positive,,,,
,,,,unit_concept_id,Fixed Value,N/A,N/A,4041099,SNOMED,,Percent
,OMOP HER2 IHC Status Biomarker Measurement,,measurement,measurement_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,35918264,NAACCR,,HER2 IHC Summary
,,,,measurement_date,Calculate Date From Interval,Biomarker,test_date,,,Placeholder:{missing_date_value},
,,,,value_as_concept_id,Concept ID By Term,Biomarker,her2_ihc_status,,,Skip Record,
,OMOP HER2 ISH Status Biomarker Measurement,,measurement,measurement_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,Skip Record,
,,,,measurement_concept_id,Fixed Value,N/A,N/A,35918706,NAACCR,,HER2 ISH Summary
,,,,measurement_date,Calculate Date From Interval,Biomarker,test_date,,,Placeholder:{missing_date_value},
,,,,value_as_concept_id,Concept ID By Term,Biomarker,her2_ish_status,,,Skip Record,
,MOHCCN Biomarkers Incomplete Modeling,,,,,Biomarker,hpv_ihc_status,,,,
,,,,,,Biomarker,hpv_pcr_status,,,,
,,,,,,Biomarker,hpv_strain,,,,
$.donors[].exposures[],OMOP Tobacco Smoking Status Observation,,observation,observation_id,Generate Unique ID From Path,Donor,submitter_donor_id,,,Skip Record,
,,,,observation_concept_id,Fixed Value,N/A,N/A,43054909,LOINC,,Tobacco smoking status
